Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
SAFM,"Sanderson Farms, Inc.",104.03,2375832563,n/a,1987,Consumer Non-Durables,Meat/Poultry/Fish,https://www.nasdaq.com/symbol/safm
SAFT,"Safety Insurance Group, Inc.",88.78,1357145236,n/a,2002,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/saft
SAGE,"Sage Therapeutics, Inc.",132.935,6203318189,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sage
SAH,"Sonic Automotive, Inc.",18.23,779343456.2,n/a,1997,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/sah
SAIA,"Saia, Inc.",65.71,1688329807,n/a,n/a,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/saia
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,71.46,3025939471,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/saic
SAIL,"SailPoint Technologies Holdings, Inc.",26.22,2300139772,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/sail
SAL,"Salisbury Bancorp, Inc.",38.31,107454991.1,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/sal
SALM,"Salem Media Group, Inc.",3.14,82210261.68,n/a,1999,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/salm
SALT,Scorpio Bulkers Inc.,6.15,463697078.9,n/a,2013,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/salt
SAM,"Boston Beer Company, Inc. (The)",306.03,3556176323,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/sam
SAMG,Silvercrest Asset Management Group Inc.,14.329,189294286.2,n/a,2013,Finance,Investment Managers,https://www.nasdaq.com/symbol/samg
SAN,"Banco Santander, S.A.",4.82,77776260265,n/a,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/san
SAN^B,"Banco Santander, S.A.",22.6,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/san^b
SAND          ,Sandstorm Gold Ltd,3.68,672081660.5,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/sand
SANM,Sanmina Corporation,26.18,1779212461,n/a,1993,Technology,Electrical Products,https://www.nasdaq.com/symbol/sanm
SANW,S&W Seed Company,3.09,0,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/sanw
SAP,SAP SE,107.61,1.32199E+11,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/sap
SAR,Saratoga Investment Corp,21.79,162421505.1,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sar
SASR,"Sandy Spring Bancorp, Inc.",36.445,1294582562,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sasr
SATS,EchoStar Corporation,38.08,3661903414,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/sats
SAUC,"Diversified Restaurant Holdings, Inc.",1.3,42348667.4,n/a,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/sauc
SAVE,"Spirit Airlines, Inc.",53.33,3640546478,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/save
SAVE,"Spirit Airlines, Inc.",53.33,3640546478,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/save
SB,"Safe Bulkers, Inc",2.47,250839081.5,n/a,2008,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/sb
SB^C,"Safe Bulkers, Inc",21.9918,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sb^c
SB^D,"Safe Bulkers, Inc",21.88,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sb^d
SBAC,SBA Communications Corporation,171.51,19593988440,n/a,1999,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sbac
SBBC,Scorpio Tankers Inc.,25.42,0,n/a,2017,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/sbbc
SBBP,Strongbridge Biopharma plc,5.83,275088829.8,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sbbp
SBBX,SB One Bancorp,24.3,193415582.7,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sbbx
SBCF,Seacoast Banking Corporation of Florida,26.86,1374094909,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sbcf
SBFG,"SB Financial Group, Inc.",18,117058500,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sbfg
SBFGP,"SB Financial Group, Inc.",18.83,0,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sbfgp
SBGI,"Sinclair Broadcast Group, Inc.",31.77,3249557470,n/a,1995,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/sbgi
SBGL,Sibanye Gold Limited,2.53,1433168680,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/sbgl
SBH,"Sally Beauty Holdings, Inc.",22.59,2713981892,n/a,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/sbh
SBI,Western Asset Intermediate Muni Fund Inc,8.3,116883214.5,n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/sbi
SBLK,Star Bulk Carriers Corp.,10.58,977125707.7,n/a,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/sblk
SBLKZ,Star Bulk Carriers Corp.,25.22,0,n/a,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/sblkz
SBNA,Scorpio Tankers Inc.,24.68,0,n/a,2014,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/sbna
SBNY,Signature Bank,116.25,6434919124,n/a,2004,Finance,Major Banks,https://www.nasdaq.com/symbol/sbny
SBNYW,Signature Bank,80.39,0,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sbnyw
SBOT,"Stellar Biotechnologies, Inc.",1.1,5863786.5,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sbot
SBOW,"SilverBow Resorces, Inc.",29.34,342314621.1,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sbow
SBPH,"Spring Bank Pharmaceuticals, Inc.",11.69,154133725.5,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sbph
SBR,Sabine Royalty Trust,38.24,557514152.8,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/sbr
SBRA,"Sabra Health Care REIT, Inc.",21.39,3813515615,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sbra
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,7.32,5003292241,n/a,2002,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/sbs
SBSI,"Southside Bancshares, Inc.",33.42,1172686812,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sbsi
SBT,"Sterling Bancorp, Inc.",9.31,493544354.7,n/a,2017,Finance,Savings Institutions,https://www.nasdaq.com/symbol/sbt
SBUX,Starbucks Corporation,68.72,89961352000,n/a,1992,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/sbux
SC,Santander Consumer USA Holdings Inc.,19.49,7047030016,n/a,2014,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/sc
SCA,Stellus Capital Investment Corporation,25.02,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sca
SCAC,Saban Capital Acquisition Corp.,10.12,75466691.96,n/a,2016,Finance,Business Services,https://www.nasdaq.com/symbol/scac
SCACU,Saban Capital Acquisition Corp.,10.6,0,n/a,2016,Finance,Business Services,https://www.nasdaq.com/symbol/scacu
SCACW,Saban Capital Acquisition Corp.,1.1,0,n/a,2016,Finance,Business Services,https://www.nasdaq.com/symbol/scacw
SCCO,Southern Copper Corporation,39.05,30187386514,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/scco
SCD,LMP Capital and Income Fund Inc.,13,233783290,n/a,2004,n/a,n/a,https://www.nasdaq.com/symbol/scd
SCE^B,Southern California Edison Company,21.29,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^b
SCE^C,Southern California Edison Company,22.4004,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^c
SCE^D,Southern California Edison Company,21.66,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^d
SCE^E,Southern California Edison Company,23.9064,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^e
SCE^G,Southern California Edison Company,21.13,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^g
SCE^H,Southern California Edison Company,25.15,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^h
SCE^J,Southern California Edison Company,24.09,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^j
SCE^K,Southern California Edison Company,24.54,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^k
SCE^L,Southern California Edison Company,20.86,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^l
SCG,Scana Corporation,40,5704769720,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/scg
